taxon_name	MID26	MID27	MID28	MID29	MID30	MID32	MID33	MID34	MID35	MID36	MID37	MID38	MID39	MID40	MID41	MID42	MID43
DQ809599	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794343	0	18	13	75	2	0	0	0	0	0	0	16	0	0	0	0	0
DQ794340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
DQ798125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DQ806939	0	0	0	0	0	0	0	0	0	0	0	1	70	0	0	0	0
DQ794345	4	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
HQ790848	26	0	0	0	0	3	0	0	3	23	0	4	26	2	0	0	0
DQ806935	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	3	0
DQ806931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ806930	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU775099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800216	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
EU655856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ800211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ448876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800033	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0
DQ804201	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
EU775093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF096651	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DQ801035	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
AY880045	0	18	0	10	16	0	0	0	2	0	0	0	3	2	18	8	0
DQ794909	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EU462170	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0
DQ805006	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ558181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0
DQ809620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ448471	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY880048	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0
DQ806860	4	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
DQ801205	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0
EU768014	39	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
FJ364770	0	0	0	0	0	0	0	0	0	0	0	9	67	1	0	0	0
EU774065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM124319	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU931396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ366908	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ799237	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0
EF096747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ795508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ793953	0	200	527	508	14	0	0	0	0	0	0	12	0	0	27	0	0
DQ798894	4	0	0	0	0	0	0	0	2	2	0	0	0	0	9	0	0
DQ810115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ364017	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EU778969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
DQ795553	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DQ801106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU459600	0	106	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ795273	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
DQ793840	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0
EU467709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF434352	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF434356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807460	9	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
EF434355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ806117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF529620	26	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
EU778564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ267893	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ810162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ824449	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU469920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ363304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ365556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807863	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF376226	0	0	0	0	0	0	0	0	6	3	0	103	15	1	0	0	0
DQ800674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ797041	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ864252	0	125	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ800675	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF376229	0	0	0	0	0	0	0	0	31	14	0	25	3	1	0	0	0
DQ799526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ823734	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ806841	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DQ795342	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ368999	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
DQ807518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ795349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ793820	22	0	0	1	0	0	0	0	2	0	0	16	0	0	4	0	0
EU776227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ800679	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
DQ799704	13	3	31	6	92	0	0	0	0	2	0	15	0	1	0	0	0
DQ807311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ440027	0	0	0	0	0	0	0	0	3	0	0	76	15	2	745	0	0
ADLN01000129	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ440022	0	197	0	0	0	0	0	0	0	0	0	4	26	0	76	0	0
DQ795656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ795655	4	0	6	0	0	0	2	0	0	0	0	4	0	0	0	4	0
HQ754686	0	3	0	0	2	3	0	0	2	0	0	0	15	0	0	0	0
DQ806202	52	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
EU778412	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	2
EU507577	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FJ370332	0	0	0	0	0	3	0	0	0	0	0	1	0	0	90	0	0
EU776774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808873	9	0	0	0	0	11	0	0	0	0	0	0	0	0	49	0	0
EU764979	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
DQ808879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU764976	26	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
FJ368429	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0
AB234463	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
EU462986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ367602	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EU462280	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
FN563303	0	0	0	0	0	0	0	0	5	4	0	3	3	0	0	0	0
DQ799413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ367607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ246670	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
HQ398258	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DQ800989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ798617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ796450	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DQ798611	9	0	0	0	0	11	1	0	0	0	0	1	9	1	0	0	0
FJ366425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU762245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU767534	4	0	7	4	0	0	3	0	0	0	0	1	0	0	18	11	0
EF098632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807244	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DQ824061	4	0	0	0	0	0	0	0	14	0	0	12	6	0	31	1	0
EU767531	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU767532	69	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
DQ807241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU766004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ370248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ802109	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DQ808985	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU506973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FJ371591	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ751709	0	106	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0
EF097591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU772974	0	0	13	0	0	0	0	0	8	3	0	0	0	0	0	0	0
DQ797817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ797816	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF405353	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
GQ139179	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ369489	199	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
EU774785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU766881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ798722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU767286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916170	147	0	0	0	0	139	0	0	25	0	0	0	0	0	4	0	0
DQ793559	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU767288	4	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0
DQ803189	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ803615	0	0	0	0	0	526	0	0	79	18	0	0	0	0	0	0	0
DQ794714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU762802	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ681589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ950694	43	0	0	0	0	0	0	0	3	15	0	6	67	0	0	0	0
AB626927	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
EU504059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ134929	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU766134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ793484	4	0	0	0	0	0	0	0	0	0	0	13	0	0	4	0	0
DQ802583	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF098339	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
EU764628	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ802584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ802585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794560	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU765973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU765971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916285	429	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
GQ492690	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU765978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ363650	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ796432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804744	0	9	7	1	6	0	0	0	3	0	0	0	0	0	0	0	0
DQ806493	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ801640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804749	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ796676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ802718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU931399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU201548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ803501	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ905626	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AM275604	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809831	0	0	7	0	0	0	0	0	0	0	0	1	0	0	4	0	0
FJ470415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU766221	9	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
DQ802363	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ371359	143	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
FJ366507	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808273	26	0	0	0	0	0	0	0	13	13	0	1	0	0	0	0	0
DQ808271	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF097373	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DQ824499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU509327	0	9	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
DQ808063	0	0	4	1	0	0	2	0	0	0	0	0	0	1	0	0	0
BAAU01005302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU771570	4	0	0	0	0	0	0	0	2	8	0	1	44	0	0	0	0
DQ797850	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
EU764574	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DQ805909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ805906	130	0	0	0	0	35	0	0	0	0	0	107	287	0	0	0	0
DQ805901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ456158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ801920	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
GQ493877	0	0	0	0	0	387	0	0	313	8	0	0	0	1	0	0	0
DQ801924	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU775664	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ824308	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ796701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY916354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ798544	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
DQ803760	0	0	0	0	0	0	0	0	9	0	0	6	0	0	0	0	0
DQ824344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ456157	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FJ371754	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ871716	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ798969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804691	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
DQ799165	0	0	6	0	0	0	1	0	0	0	0	4	0	0	0	6	0
EU767263	39	0	0	14	0	3	0	0	0	0	0	0	0	0	0	0	0
DQ804698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU475734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
DQ807363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY991070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ807780	35	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0
DQ808474	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
GU432167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
HQ787846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ739338	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
HQ751097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800198	0	0	0	0	0	0	0	0	2	0	0	7	0	0	4	0	0
DQ797856	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ795276	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
FJ367399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU507370	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ801825	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DQ801820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF406436	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DQ801822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ365702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800665	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ363078	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ767666	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
DQ805835	0	0	0	2	0	8	0	0	9	0	0	0	0	0	5829	1	0
DQ804520	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DQ797266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804524	13	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0
EU503772	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
EU774494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ673458	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ825211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ508144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ493476	0	0	0	0	0	0	0	0	53	34	0	13	3	0	0	0	0
DQ808690	17	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ800689	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
DQ808693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ794280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU762099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ762558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU777334	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809057	186	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0
DQ808501	0	0	0	0	0	3	0	0	0	0	0	0	0	0	27	0	0
DQ808503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808509	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
EU472180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ798132	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
EU778880	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EU472187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU775523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU765114	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ790836	0	0	0	0	0	0	0	0	0	0	0	60	142	0	0	0	0
DQ794351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU591831	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU771791	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ754420	9	21	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
EU461907	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0
EF097119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU774339	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DQ800207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809454	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ741276	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ809450	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
DQ800201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ808184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ804232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
DQ804650	74	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
DQ809705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ824341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
GQ448486	95	0	450	24	0	0	27	0	2	0	0	75	0	2	27	339	0
