taxon_name	superkingdom	phylum	class	order	family	genus	taxon_annotation
OTU_97.10125	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	facultative_anaerobic
OTU_97.10128	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.10129	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	facultative_anaerobic
OTU_97.1013	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Kytococcus	NA
OTU_97.10130	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10131	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	facultative_anaerobic
OTU_97.10132	Bacteria	SR1	NA	NA	NA	NA	NA
OTU_97.10134	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	aerobic
OTU_97.10136	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
OTU_97.10137	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
OTU_97.10138	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
OTU_97.10139	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.1014	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10141	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	facultative_anaerobic
OTU_97.10142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10143	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NA	NA
OTU_97.10144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	anaerobic
OTU_97.10145	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	anaerobic
OTU_97.10146	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA
OTU_97.10147	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10148	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10150	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
OTU_97.10153	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aerobic
OTU_97.10156	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	anaerobic
OTU_97.10157	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NA	NA
OTU_97.10159	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	facultative_anaerobic
OTU_97.1016	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
OTU_97.10161	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10162	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	anaerobic
OTU_97.10163	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	anaerobic
OTU_97.10164	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	facultative_anaerobic
OTU_97.10165	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	facultative_anaerobic
OTU_97.10166	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10167	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10168	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	anaerobic
OTU_97.10169	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia	anaerobic
OTU_97.1017	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10170	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10172	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia	anaerobic
OTU_97.10176	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10177	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
OTU_97.10178	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
OTU_97.10179	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	facultative_anaerobic
OTU_97.1018	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.10180	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	anaerobic
OTU_97.10181	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10182	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	anaerobic
OTU_97.10183	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	anaerobic
OTU_97.10184	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	anaerobic
OTU_97.10185	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10187	Bacteria	TM7	TM7-3	EW055	NA	NA	NA
OTU_97.10188	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
OTU_97.10189	Bacteria	Thermi	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
OTU_97.10190	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10191	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	NA
OTU_97.10192	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
OTU_97.10194	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
OTU_97.10196	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10197	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	anaerobic
OTU_97.10198	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10199	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.102	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.1020	Bacteria	Lentisphaerae	Lentisphaerae	Victivallales	Victivallaceae	NA	NA
OTU_97.10200	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	facultative_anaerobic
OTU_97.10201	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
OTU_97.10202	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	facultative_anaerobic
OTU_97.10203	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
OTU_97.10204	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10205	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI. Incertae Sedis	Anaerococcus	anaerobic
OTU_97.10206	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10207	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	aerobic
OTU_97.10209	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	NA
OTU_97.1021	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10210	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	aerobic
OTU_97.10211	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10212	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10213	Bacteria	NA	NA	NA	NA	NA	NA
OTU_97.10214	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10215	Bacteria	TM7	TM7-3	NA	NA	NA	NA
OTU_97.10216	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10218	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10219	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.1022	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	NA
OTU_97.10220	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aerobic
OTU_97.10221	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	facultative_anaerobic
OTU_97.10222	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.10224	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aerobic
OTU_97.10225	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	facultative_anaerobic
OTU_97.10226	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.10227	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	NA
OTU_97.10228	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aerobic
OTU_97.10229	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Pseudoclavibacter	NA
OTU_97.1023	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	aerobic
OTU_97.10230	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10233	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NA	NA
OTU_97.10235	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	facultative_anaerobic
OTU_97.10236	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
OTU_97.10237	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	anaerobic
OTU_97.10239	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	facultative_anaerobic
OTU_97.1024	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	NA
OTU_97.10241	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10243	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	facultative_anaerobic
OTU_97.10244	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
OTU_97.10245	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	NA
OTU_97.10247	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	facultative_anaerobic
OTU_97.10248	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	anaerobic
OTU_97.1025	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10250	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium	anaerobic
OTU_97.10252	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	facultative_anaerobic
OTU_97.10253	Bacteria	Actinobacteria	Actinobacteria	MC47	NA	NA	NA
OTU_97.10254	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10255	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	facultative_anaerobic
OTU_97.10256	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	facultative_anaerobic
OTU_97.10259	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.1026	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	anaerobic
OTU_97.10260	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	aerobic
OTU_97.10261	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	aerobic
OTU_97.10262	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10263	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	anaerobic
OTU_97.10264	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	anaerobic
OTU_97.10265	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	anaerobic
OTU_97.10266	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10267	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10268	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10269	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	NA	NA	NA
OTU_97.1027	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	anaerobic
OTU_97.10270	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	anaerobic
OTU_97.10272	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas	anaerobic
OTU_97.10273	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	anaerobic
