"Taxon_name"	"Attribute"	"Attribute_value"	"Attribute_source"	"NCBI_ID"	"Rank"	"query"	"kingdom"	"class"	"order"	"family"	"genus"	"species"
"Nosocomiicoccus ampullae"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"489910"	"species"	"Nosocomiicoccus ampullae"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Nosocomiicoccus"	"Nosocomiicoccus ampullae"
"Peptoniphilus sp."	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"1971214"	"species"	"Peptoniphilus sp."	"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"	"Peptoniphilus sp."
"Peptostreptococcus sp."	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"1262"	"species"	"Peptostreptococcus sp."	"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Peptostreptococcus"	"Peptostreptococcus sp."
"Prevotella bivia"	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"28125"	"species"	"Prevotella bivia"	"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella bivia"
"Propionibacterium acnes"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1747"	"species"	"Propionibacterium acnes"	"Bacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Cutibacterium"	"Cutibacterium acnes"
"Shigella sp."	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"625"	"species"	"Shigella sp."	"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Shigella"	"Shigella sp."
"Sneathia amnii"	"bv-associated"	TRUE	"https://www.nature.com/articles/s41522-021-00259-8"	"187101"	"species"	"Sneathia amnii"	"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"	"Sneathia vaginalis"
"Staphylococcus epidermidis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1282"	"species"	"Staphylococcus epidermidis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus epidermidis"
"Staphylococcus fleuretti"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"150056"	"species"	"Staphylococcus fleuretti"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Mammaliicoccus"	"Mammaliicoccus fleurettii"
"Staphylococcus haemolyticus"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1283"	"species"	"Staphylococcus haemolyticus"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus haemolyticus"
"Staphylococcus hominis"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1290"	"species"	"Staphylococcus hominis"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus hominis"
"Staphylococcus saprophyticus"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"29385"	"species"	"Staphylococcus saprophyticus"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus saprophyticus"
"Staphylococcus simulans"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1286"	"species"	"Staphylococcus simulans"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus simulans"
"Staphylococcus warneri"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1292"	"species"	"Staphylococcus warneri"	"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus warneri"
"Streptococcus agalactiae"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1311"	"species"	"Streptococcus agalactiae"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus agalactiae"
"Streptococcus anginosus"	"bv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1328"	"species"	"Streptococcus anginosus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus anginosus"
"Veillonella sp."	"bv-associated"	TRUE	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2890091/"	"1926307"	"species"	"Veillonella sp."	"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	"Veillonella sp."
"Lactobacillus vaginalis"	"hv-associated"	TRUE	"https://pubmed.ncbi.nlm.nih.gov/24596283/"	"1633"	"species"	"Lactobacillus vaginalis"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"Limosilactobacillus vaginalis"
"Lactobacillus iners"	"hv-associated"	TRUE	""	"147802"	"species"	"Lactobacillus iners"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus iners"
"Lactobacillus crispatus"	"hv-associated"	TRUE	""	"47770"	"species"	"Lactobacillus crispatus"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus crispatus"
"Lactobacillus gasseri"	"hv-associated"	TRUE	""	"1596"	"species"	"Lactobacillus gasseri"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"
"Lactobacillus jensenii"	"hv-associated"	TRUE	""	"109790"	"species"	"Lactobacillus jensenii"	"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus jensenii"
